Name	|	Abilities	|	Evolutions	|	Habitats	|	Move List
grotle	|	"['basic ability 1: shell armor', 'basic ability 2: overgrow', 'adv ability 1: grass pelt', 'adv ability 2: sturdy', 'high ability: natural cure', 'high abilities: shell armor']"	|	"['1 - turtwig', '2 - grotle minimum 15', '3 - torterra minimum 30']"	|	"['forest', 'marsh', 'rainforest']"	|	"['5 withdraw - water', '9 absorb - grass', '13 razor leaf - grass', '17 curse - ghost', '22 bite - dark', '27 mega drain - grass', '32 leech seed - grass', '37 synthesis - grass', '42 crunch - dark', '47 giga drain - grass', '52 leaf storm - grass']"
torterra	|	"['basic ability 1: shell armor', 'basic ability 2: overgrow', 'adv ability 1: grass pelt', 'adv ability 2: sturdy', 'high ability: natural cure']"	|	"['1 - turtwig', '2 - grotle minimum 15', '3 - torterra minimum 30']"	|	"['forest', 'marsh', 'rainforest']"	|	"['5 withdraw - water', '9 absorb - grass', '13 razor leaf - grass', '17 curse - ghost', '22 bite - dark', '27 mega drain - grass', '32 earthquake - ground', '33 leech seed - grass', '39 synthesis - grass', '45 crunch - dark', '51 giga drain - grass', '57 leaf storm - grass']"
snivy	|	"['basic ability 1: sol veil', 'basic ability 2: overgrow', 'adv ability 1: contrary', 'adv ability 2: leaf rush', 'high ability: sway']"	|	"['1 - snivy', '2 - servine minimum 15', '3 - serperior minimum 30']"	|	"['forest', 'rainforest']"	|	"['1 tackle - normal', '4 leer - normal', '7 vine whip - grass', '10 wrap - normal', '13 growth - normal', '16 leaf tornado - grass', '19 leech seed - grass', '22 mega drain - grass', '25 slam - normal', '28 leaf blade - grass', '31 coil - poison', '34 giga drain - grass', '37 wring out - normal', '40 gastro acid - poison', '43 leaf storm - grass']"
servine	|	"['basic ability 1: sol veil', 'basic ability 2: overgrow', 'adv ability 1: contrary', 'adv ability 2: leaf rush', 'high ability: sway']"	|	"['1 - snivy', '2 - servine minimum 15', '3 - serperior minimum 30']"	|	"['forest', 'rainforest']"	|	"['4 leer - normal', '7 vine whip - grass', '10 wrap - normal', '13 growth - normal', '16 leaf tornado - grass', '20 leech seed - grass', '24 mega drain - grass', '28 slam - normal', '32 leaf blade - grass', '36 coil - poison', '40 giga drain - grass', '44 wring out - normal', '48 gastro acid - poison', '52 leaf storm - grass']"
serperior	|	"['basic ability 1: sol veil', 'basic ability 2: overgrow', 'adv ability 1: contrary', 'adv ability 2: leaf rush', 'high ability: regal challenge']"	|	"['1 - snivy', '2 - servine minimum 15', '3 - serperior minimum 30']"	|	"['forest', 'rainforest']"	|	"['4 leer - normal', '7 vine whip - grass', '10 wrap - normal', '13 growth - normal', '16 leaf tornado - grass', '20 leech seed - grass', '24 mega drain - grass', '28 slam - normal', '32 leaf blade - grass', '38 coil - poison', '44 giga drain - grass', '50 wring out - normal', '56 gastro acid - poison', '62 leaf storm - grass']"
chespin	|	"['basic ability 1: bodyguard', 'basic ability 2: overgrow', 'adv ability 1: gentle vibe', 'adv ability 2: bulletproof', 'high ability: abominable']"	|	"['1 - chespin', '2 - quilladin minimum 15', '3 - chesnaught minimum 30']"	|	"['forest', 'grassland', 'rainforest']"	|	"['1 tackle - normal', '1 growl - normal', '5 vine whip - grass', '8 rollout - rock', '15 leech seed - grass', '18 pin missile - bug', '21 needle arm - grass', '27 take down - normal', '32 seed bomb - grass', '35 mud shot - ground', '39 bulk up - fighting', '42 body slam - normal', '45 pain split - normal', '48 wood hammer - grass']"
quilladin	|	"['basic ability 1: bodyguard', 'basic ability 2: overgrow', 'adv ability 1: gentle vibe', 'adv ability 2: bulletproof', 'high ability: abominable']"	|	"['1 - chespin', '2 - quilladin minimum 15', '3 - chesnaught minimum 30']"	|	"['forest', 'grassland', 'rainforest']"	|	"['1 tackle - normal', '1 growl - normal', '5 vine whip - grass', '8 rollout - rock', '15 leech seed - grass', '20 pin missile - bug', '26 needle arm - grass', '30 take down - normal', '35 seed bomb - grass', '39 mud shot - ground', '44 bulk up - fighting', '48 body slam - normal', '52 pain split - normal', '55 wood hammer - grass']"
chesnaught	|	"['basic ability 1: bodyguard', 'basic ability 2: overgrow', 'adv ability 1: battle armor', 'adv ability 2: bulletproof', 'high ability: abominable']"	|	"['1 - chespin', '2 - quilladin minimum 15', '3 - chesnaught minimum 30']"	|	"['forest', 'grassland', 'rainforest']"	|	"['1 tackle - normal', '1 growl - normal', '5 vine whip - grass', '8 rollout - rock', '15 leech seed - grass', '20 pin missile - bug', '26 needle arm - grass', '30 take down - normal', '30 spiky shield - grass', '35 seed bomb - grass', '41 mud shot - ground', '44 bulk up - fighting', '48 body slam - normal', '52 pain split - normal', '55 wood hammer - grass', '60 hammer arm - fighting', '70 giga impact - normal']"
charmander	|	"['basic ability 1: blaze', 'basic ability 2: rattled', 'adv ability 1: solar power', 'adv ability 2: courage', 'high ability: dodge']"	|	"['1 - charmander', '2 - charmeleon minimum 15', '3 - charizard minimum 30']"	|	"['cave', 'mountain']"	|	"['1 scratch - normal', '3 growl - normal', '7 ember - fire', '10 smokescreen - normal', '16 dragon', 'rage - dragon', '19 scary face - normal', '25 fire', 'fang - fire', '28 flame burst - fire', '34 slash - normal', '37 flamethrower - fire', '43 fire', 'spin - fire', '46 inferno - fire']"
charmeleon	|	"['basic ability 1: blaze', 'basic ability 2: intimidate', 'adv ability 1: solar power', 'adv ability 2: prime fury', 'high ability: white flame']"	|	"['1 - charmander', '2 - charmeleon minimum 15', '3 - charizard minimum 30']"	|	"['cave', 'mountain']"	|	"['7 ember - fire', '10 smokescreen - normal', '17 dragon', 'rage - dragon', '21 scary face - normal', '28 fire', 'fang - fire', '32 flame burst - fire', '39 slash - normal', '43 flamethrower - fire', '50 fire', 'spin - fire', '54 inferno - fire']"
charizard	|	"['basic ability 1: blaze', 'basic ability 2: intimidate', 'adv ability 1: solar power', 'adv ability 2: prime fury', 'high ability: white flame']"	|	"['1 - charmander', '2 - charmeleon minimum 15', '3 - charizard minimum 30']"	|	"['cave', 'mountain']"	|	"['7 ember - fire', '10 smokescreen - normal', '17 dragon', 'rage - dragon', '21 scary face - normal', '28 fire', 'fang - fire', '32 flame burst - fire', '36 wing attack - flying', '41 slash - normal', '47 flamethrower - fire', '56 fire', 'spin - fire', '62 inferno - fire', '71 heat wave - fire', '77 flare blitz - fire']"
cyndaquil	|	"['basic ability 1: blaze', 'basic ability 2: flame body', 'adv ability 1: run away', 'adv ability 2: celebrate', 'high ability: flash fire']"	|	"['1 - cyndaquil', '2 - quilava minimum 15', '3 - typhlosion minimum 30']"	|	"['cave', 'mountain']"	|	"['1 tackle - normal', '1 leer - normal', '6 smokescreen - normal', '10 ember - fire', '13 quick attack - normal', '19 flame wheel - fire', '22 defense curl - normal', '28 flame charge - fire', '31 swift - normal', '37 lava plume - fire', '40 flamethrower - fire', '46 inferno - fire', '49 rollout - rock', '55 double-edge - normal', '58 eruption - fire']"
quilava	|	"['basic ability 1: blaze', 'basic ability 2: flame body', 'adv ability 1: run away', 'adv ability 2: celebrate', 'high ability: flash fire']"	|	"['1 - cyndaquil', '2 - quilava minimum 15', '3 - typhlosion minimum 30']"	|	"['cave', 'mountain']"	|	"['6 smokescreen - normal', '10 ember - fire', '13 quick attack - normal', '20 flame wheel - fire', '24 defense curl - normal', '31 swift - normal', '35 flame charge - fire', '42 lava plume - fire', '46 flamethrower - fire', '53 inferno - fire', '57 rollout - rock', '64 double-edge - normal', '68 eruption - fire']"
typhlosion	|	"['basic ability 1: blaze', 'basic ability 2: flame body', 'adv ability 1: heat mirage', 'adv ability 2: celebrate', 'high ability: flash fire']"	|	"['1 - cyndaquil', '2 - quilava minimum 15', '3 - typhlosion minimum 30']"	|	"['cave', 'mountain']"	|	"['6 smokescreen - normal', '10 ember - fire', '13 quick attack - normal', '20 flame wheel - fire', '24 defense curl - normal', '31 swift - normal', '35 flame charge - fire', '43 lava plume - fire', '48 flamethrower - fire', '56 inferno - fire', '61 rollout - rock', '69 double-edge - normal', '74 eruption - fire']"
torchic	|	"['basic ability 1: blaze', 'basic ability 2: klutz', 'adv ability 1: speed boost', 'adv ability 2: tangled feet', 'high ability: moxie']"	|	"['1 - torchic', '2 - combusken minimum 15', '3 - blaziken minimum 35']"	|	['grassland']	|	"['1 growl - normal', '1 scratch - normal', '5 ember - fire', '10 sand attack - ground', '14 peck - flying', '19 fire', 'spin - fire', '23 quick attack - normal', '28 flame burst - fire', '32 focus energy - normal', '37 slash - normal', '41 mirror move - flying', '46 flamethrower - fire']"
combusken	|	"['basic ability 1: blaze', 'basic ability 2: klutz', 'adv ability 1: speed boost', 'adv ability 2: tangled feet', 'high ability: moxie']"	|	"['1 - torchic', '2 - combusken minimum 15', '3 - blaziken minimum 35']"	|	['grassland']	|	"['5 ember - fire', '10 sand attack - ground', '14 peck - flying', '16 double kick - fighting', '20 flame charge - fire', '25 quick attack - normal', '31 bulk up - fighting', '36 focus energy - normal', '42 slash - normal', '47 mirror move - flying', '53 sky uppercut - fighting', '58 flare blitz - fire']"
blaziken	|	"['basic ability 1: blaze', 'basic ability 2: klutz', 'adv ability 1: speed boost', 'adv ability 2: tangled feet', 'high ability: moxie']"	|	"['1 - torchic', '2 - combusken minimum 15', '3 - blaziken minimum 35']"	|	['grassland']	|	"['5 ember - fire', '10 sand attack - ground', '14 peck - flying', '16 double kick - fighting', '20 flame charge - fire', '25 quick attack - normal', '31 bulk up - fighting', '36 blaze kick - fire', '37 focus energy - normal', '44 slash - normal', '50 brave bird - flying', '57 sky uppercut - fighting', '63 flare blitz - fire']"
chimchar	|	"['basic ability 1: blaze', 'basic ability 2: pickup', 'adv ability 1: decoy', 'adv ability 2: iron fist', 'high ability: celebrate']"	|	"['1 - chimchar', '2 - monferno minimum 15', '3 - infernape minimum 30']"	|	"['cave', 'mountain']"	|	"['1 leer - normal', '1 scratch - normal', '7 ember - fire', '9 taunt - dark', '15 fury swipes - normal', '17 flame wheel - fire', '23 nasty plot - dark', '25 torment - dark', '31 facade - normal', '33 fire', 'spin - fire', '39 acrobatics - flying', '41 slack off - fire', '47 flamethrower - fire']"
monferno	|	"['basic ability 1: blaze', 'basic ability 2: pickup', 'adv ability 1: decoy', 'adv ability 2: iron fist', 'high ability: celebrate']"	|	"['1 - chimchar', '2 - monferno minimum 15', '3 - infernape minimum 30']"	|	"['cave', 'mountain']"	|	"['7 ember - fire', '9 taunt - dark', '15 mach punch - fighting', '16 fury swipes - normal', '19 flame wheel - fire', '26 feint - normal', '29 torment - dark', '36 close combat - fighting', '39 fire', 'spin - fire', '46 acrobatics - flying', '49 slack off - normal', '56 flare blitz - fire']"
infernape	|	"['basic ability 1: blaze', 'basic ability 2: pickup', 'adv ability 1: decoy', 'adv ability 2: iron fist', 'high ability: celebrate']"	|	"['1 - chimchar', '2 - monferno minimum 15', '3 - infernape minimum 30']"	|	"['cave', 'mountain']"	|	"['7 ember - fire', '9 taunt - dark', '15 mach punch - fighting', '16 fury swipes - normal', '19 flame wheel - fire', '26 feint - normal', '29 punishment - dark', '36 close combat - fighting', '42 fire', 'spin - fire', '52 acrobatics - flying', '58 calm mind - psychic', '68 flare blitz - fire']"
tepig	|	"['basic ability 1: blaze', 'basic ability 2: thick fat', 'adv ability 1: gluttony', 'adv ability 2: reckless', 'high ability: bodyguard']"	|	"['1 - tepig', '2 - pignite minimum 15', '3 - emboar minimum 30']"	|	"['forest', 'grassland', 'mountain']"	|	"['1 tackle - normal', '3 tail whip - normal', '7 ember - fire', '9 odor sleuth - normal', '13 defense curl - normal', '15 flame charge - fire', '19 smog - poison', '21 rollout - rock', '25 take down - normal', '27 heat crash - fire', '31 assurance - dark', '33 flamethrower - fire', '37 head smash - rock', '39 roar - normal', '43 flare blitz - fire']"
pignite	|	"['basic ability 1: blaze', 'basic ability 2: thick fat', 'adv ability 1: gluttony', 'adv ability 2: reckless', 'high ability: bodyguard']"	|	"['1 - tepig', '2 - pignite minimum 15', '3 - emboar minimum 30']"	|	"['cave', 'grassland', 'mountain']"	|	"['3 tail whip - normal', '7 ember - fire', '9 odor sleuth - normal', '13 defense curl - normal', '15 flame charge - fire', '17 arm thrust - fighting', '20 smog - poison', '23 rollout - rock', '28 take down - normal', '31 heat crash - fire', '36 assurance - dark', '39 flamethrower - fire', '44 head smash - rock', '47 roar - normal', '52 flare blitz - fire']"
emboar	|	"['basic ability 1: blaze', 'basic ability 2: thick fat', 'adv ability 1: gluttony', 'adv ability 2: reckless', 'high ability: bodyguard']"	|	"['1 - tepig', '2 - pignite minimum 15', '3 - emboar minimum 30']"	|	"['cave', 'grassland', 'mountain']"	|	"['3 tail whip - normal', '7 ember - fire', '9 odor sleuth - normal', '13 defense curl - normal', '15 flame charge - fire', '17 arm thrust - fighting', '20 smog - poison', '23 rollout - rock', '28 take down - normal', '31 heat crash - fire', '38 assurance - dark', '43 flamethrower - fire', '50 head smash - rock', '55 roar - normal', '62 flare blitz - fire']"
fennekin	|	"['basic ability 1: blaze', 'basic ability 2: forewarn', 'adv ability 1: magician', 'adv ability 2: sorcery', 'high ability: fox fire']"	|	"['1 - fennekin', '2 - braixen minimum 15', '3 - delphox minimum 30']"	|	"['forest', 'grassland', 'urban']"	|	"['1 scratch - normal', '1 tail whip - normal', '5 ember - fire', '11 howl - normal', '14 flame charge - fire', '17 psybeam - psychic', '20 fire', 'spin - fire', '25 lucky chant - normal', '31 psyshock - psychic', '34 flamethrower - fire', '38 will-o-wisp - fire', '41 psychic', '- psychic', '43 sunny day - fire', '46 magic room - psychic', '48 fire', 'blast - fire']"
braixen	|	"['basic ability 1: blaze', 'basic ability 2: forewarn', 'adv ability 1: magician', 'adv ability 2: sorcery', 'high ability: fox fire']"	|	"['1 - fennekin', '2 - braixen minimum 15', '3 - delphox minimum 30']"	|	"['forest', 'grassland', 'urban']"	|	"['1 scratch - normal', '1 tail whip - normal', '5 ember - fire', '11 howl - normal', '14 flame charge- fire', '18 psybeam - psychic', '22 fire', 'spin - fire', '27 lucky chant - normal', '30 light screen - normal', '34 psyshock - psychic', '41 flamethrower - fire', '45 will-o-wisp - fire', '48 psychic', '- psychic', '51 sunny day - fire', '53 magic room - psychic', '55 fire', 'blast - fire']"
delphox	|	"['basic ability 1: blaze', 'basic ability 2: forewarn', 'adv ability 1: magician', 'adv ability 2: sorcery', 'high ability: fox fire']"	|	"['1 - fennekin', '2 - braixen minimum 15', '3 - delphox minimum 30']"	|	"['forest', 'grassland', 'urban']"	|	"['1 scratch - normal', '1 tail whip - normal', '5 ember - fire', '11 howl - normal', '14 flame charge- fire', '18 psybeam - psychic', '22 fire', 'spin - fire', '27 lucky chant - normal', '30 light screen - normal', '30 mystical fire', '- fire', '34 psyshock - psychic', '42 flamethrower - fire', '47 will-o-wisp - fire', '51 psychic', '- psychic', '55 sunny day - fire', '58 magic room - psychic', '61 fire', 'blast - fire', '69 future sight - psychic']"
squirtle	|	"['basic ability 1: rain dish', 'basic ability 2: torrent', 'adv ability 1: shell armor', 'adv ability 2: shell shield', 'high ability: overtcoat']"	|	"['1 - squirtle', '2 - wartortle minimum 15', '3 - blastoise minimum 30']"	|	"['beach', 'freshwater', 'ocean']"	|	"['1 tackle - normal', '4 tail whip - normal', '7 bubble - water', '10 withdraw - water', '13 water', 'gun - water', '16 bite - dark', '19 rapid spin - normal', '22 protect - normal', '25 water', 'pulse - water', '28 aqua tail - water', '31 skull bash - normal', '34 iron defense - steel', '37 rain dance - water', '40 hydro pump - water']"
wartortle	|	"['basic ability 1: rain dish', 'basic ability 2: torrent', 'adv ability 1: shell armor', 'adv ability 2: shell shield', 'high ability: overtcoat']"	|	"['1 - squirtle', '2 - wartortle minimum 15', '3 - blastoise minimum 30']"	|	"['beach', 'freshwater', 'ocean']"	|	"['4 tail whip - normal', '7 bubble - water', '10 withdraw - water', '13 water', 'gun - water', '16 bite - dark', '20 rapid spin - normal', '24 protect - normal', '28 water', 'pulse - water', '32 aqua tail - water', '36 skull bash - normal', '40 iron defense - steel', '44 rain dance - water', '48 hydro pump - water']"
blastoise	|	"['basic ability 1: rain dish', 'basic ability 2: torrent', 'adv ability 1: shell armor', 'adv ability 2: shell cannon', 'high ability: overtcoat']"	|	"['1 - squirtle', '2 - wartortle minimum 15', '3 - blastoise minimum 30']"	|	"['beach', 'freshwater', 'ocean']"	|	"['4 tail whip - normal', '7 bubble - water', '10 withdraw - water', '13 water', 'gun - water', '16 bite - dark', '20 rapid spin - normal', '24 protect - normal', '28 water', 'pulse - water', '32 aqua tail - water', '39 skull bash - normal', '46 iron defense - steel', '53 rain dance - water', '60 hydro pump - water']"
totodile	|	"['basic ability 1: hyper cutter', 'basic ability 2: torrent', 'adv ability 1: frisk', 'adv ability 2: sheer force', 'high ability: strong jaw']"	|	"['1 - totodile', '2 - croconaw minimum 15', '3 - feraligatr minimum 30']"	|	"['beach', 'freshwater', 'marsh']"	|	"['1 leer - normal', '1 scratch - normal', '6 water', 'gun - water', '8 rage - normal', '13 bite - dark', '15 scary face - normal', '20 ice', 'fang - ice', '22 flail - normal', '27 crunch - normal', '29 chip away - dark', '34 slash - normal', '36 screech - normal', '41 thrash - normal', '43 aqua tail - water', '48 superpower - fighting', '50 hydro pump - water']"
croconaw	|	"['basic ability 1: hyper cutter', 'basic ability 2: torrent', 'adv ability 1: frisk', 'adv ability 2: sheer force', 'high ability: strong jaw']"	|	"['1 - totodile', '2 - croconaw minimum 15', '3 - feraligatr minimum 30']"	|	"['beach', 'freshwater', 'marsh']"	|	"['6 water', 'gun - water', '8 rage - normal', '13 bite - dark', '15 scary face - normal', '21 ice', 'fang - ice', '24 flail - normal', '30 crunch - dark', '33 chip away - normal', '39 slash - normal', '42 screech - normal', '48 thrash - normal', '51 aqua tail - water', '57 superpower - fighting', '60 hydro pump - water']"
feraligatr	|	"['basic ability 1: hyper cutter', 'basic ability 2: torrent', 'adv ability 1: frisk', 'adv ability 2: sheer force', 'high ability: strong jaw']"	|	"['1 - totodile', '2 - croconaw minimum 15', '3 - feraligatr minimum 30']"	|	"['beach', 'freshwater', 'marsh']"	|	"['6 water', 'gun - water', '8 rage - normal', '13 bite - dark', '15 scary face - normal', '21 ice', 'fang - ice', '24 flail - normal', '30 agility - psychic', '32 crunch - dark', '37 chip away - normal', '45 slash - normal', '50 screech - normal', '58 thrash - normal', '63 aqua tail - water', '71 superpower - fighting', '76 hydro pump - water']"
mudkip	|	"['basic ability 1: mud dweller', 'basic ability 2: torrent', 'adv ability 1: damp', 'adv ability 2: own tempo', 'high ability: regenerator']"	|	"['1 - mudkip', '2 - marshtomp minimum 15', '3 - swampert minimum 30']"	|	['marsh']	|	"['1 growl - normal', '1 tackle - normal', '4 water', 'gun - water', '9 mud-slap - ground', '12 foresight - normal', '17 bide - normal', '20 mud sport - ground', '25 rock', 'throw - rock', '28 protect - normal', '33 whirlpool - water', '36 take down - normal', '41 hydro pump - water', '44 endeavor - normal']"
marshtomp	|	"['basic ability 1: mud dweller', 'basic ability 2: torrent', 'adv ability 1: damp', 'adv ability 2: own tempo', 'high ability: regenerator', 'high abilities: hydration']"	|	"['1 - mudkip', '2 - marshtomp minimum 15', '3 - swampert minimum 30']"	|	['marsh']	|	"['4 water', 'gun - water', '9 mud-slap - ground', '12 foresight - normal', '16 mud shot - ground', '18 bide - normal', '22 mud bomb - ground', '28 rock', 'slide - rock', '32 protect - normal', '38 muddy water', '- water', '42 take down - normal', '48 earthquake - ground', '52 endeavor - normal']"
swampert	|	"['basic ability 1: mud dweller', 'basic ability 2: torrent', 'adv ability 1: damp', 'adv ability 2: own tempo', 'high ability: regenerator']"	|	"['1 - mudkip', '2 - marshtomp minimum 15', '3 - swampert minimum 30']"	|	['marsh']	|	"['4 water', 'gun - water', '9 mud-slap - ground', '12 foresight - normal', '16 mud shot - ground', '18 bide - normal', '22 mud bomb - ground', '28 rock', 'slide - rock', '32 protect - normal', '39 muddy water', '- water', '44 take down - normal', '51 earthquake - ground', '56 endeavor - normal', '63 hammer arm - fighting']"
piplup	|	"['basic ability 1: klutz', 'basic ability 2: torrent', 'adv ability 1: pride', 'adv ability 2: defiant', 'high ability: swift swim']"	|	"['1 - piplup', '2 - prinplup minimum 15', '3 - empoleon minimum 30']"	|	"['beach', 'taiga', 'tundra']"	|	"['1 pound - normal', '4 growl - normal', '8 bubble - water', '11 water', 'sport - water', '15 peck - flying', '19 bubble beam - water', '24 bide - normal', '28 fury attack - normal', '33 brine - water', '37 whirlpool - water', '42 mist - ice', '46 drill peck - flying', '51 hydro pump - water']"
prinplup	|	"['basic ability 1: klutz', 'basic ability 2: torrent', 'adv ability 1: pride', 'adv ability 2: defiant', 'high ability: swift swim']"	|	"['1 - piplup', '2 - prinplup minimum 15', '3 - empoleon minimum 30']"	|	"['beach', 'taiga', 'tundra']"	|	"['4 growl - normal', '8 bubble - water', '11 water', 'sport - water', '15 peck - flying', '16 metal claw - steel', '19 bubble beam - water', '24 bide - normal', '28 fury attack - normal', '33 brine - water', '37 whirlpool - water', '42 mist - ice', '46 drill peck - flying', '51 hydro pump - water']"
empoleon	|	"['basic ability 1: confidence', 'basic ability 2: torrent', 'adv ability 1: pride', 'adv ability 2: defiant', 'high ability: swift swim', 'high abilities: defiant']"	|	"['1 - piplup', '2 - prinplup minimum 15', '3 - empoleon minimum 30']"	|	"['beach', 'taiga', 'tundra']"	|	"['4 growl - normal', '8 bubble - water', '11 swords dance - normal', '15 peck - flying', '16 metal claw - steel', '19 bubble beam - water', '24 swagger - normal', '28 fury attack - normal', '33 brine - water', '36 aqua jet - water', '39 whirlpool - water', '46 mist - ice', '52 drill peck - flying', '59 hydro pump - water']"
